,Age,Condition,Date,Drug,DrugId,EaseofUse,Effectiveness,Reviews,Satisfaction,Sex,Sides,UsefulCount,side_effect,effectiveness
62,75 or over,Osteoporosis,2018-11-13,prolia syringe,154218,2,1,"I had three injections of Prolia and have suffered for over a year with severe jaw pain and loss of one tooth as a result of those injections.  After I had a tooth pulled, I also fought a bacterial infection for over a year.  Three dentists told me that there is a component in Prolia that attracted bacteria to the exposed bone from the extraction.  They further told me that Prolia can stay in the system for several years.  I am now going to lose one more tooth because of bone loss that is attributable to Prolia.  This medicine should not be manufactured, and I am surprised that there has not been a class action suit against the pharmaceutical company because of its terrible and costly side effects.",1,Female, ,30,0.99958855,0.0020362844
63,75 or over,Osteoporosis,2018-10-31,prolia syringe,154218,1,1,"I had my first injection 4 weeks ago and had I read the many reviews of Prolia, I would have not taken the drug, despite my M.D.s urging that it is a good,effective med.  I was not exactly feeling terrific a month ago, but since the shot, my entire body seems to be failing. I have constant mild to severe nausea; pains in my legs, hips, hands and spine that I've never had in my life. My skin is in constant pain/outbreak of hives and itching so bad on my entire body that it blistered in areas and peeled due to excessive scratching. Now a UTI has begun.  I had read the entire  insert material and was aware that side effects might occur but the side effects are increasing as time goes on and the fact that there is no way to purge oneself of the medication   is frightening. I feel very sick and apparently helpless.  I regret having taken this product ..even though the doctors all suggest it's ""the best medication going"" and they know of its side effects but of all their patients on the drug...know of no one who  has experienced any problem.  REALLY? ",1, , ,37,0.9996438,0.0007206406
64,55-64,Osteoporosis,2018-10-22,prolia syringe,154218,1,1,This poison has completely destroyed my life. I went from living a active life to not being able to move. I am always in terrible pain and stay sick all the time.,1,Female, ,29,0.99965906,0.0034759769
65,75 or over,Osteoporosis,2018-09-30,prolia syringe,154218,1,1,"I got my first shot in May of 2018. In June I started to get pains in my bones, joints, jaw, feeling nausea. By August I went from a very active person to not active at all. I have so much pain I can't even walk around the block. I will not be getting another Prolia shot. I will take my chances with getting a fracture. I would like to know how long this drug stays in our system. The doctor who gave me the shot does NOT call me back after many phone calls I have sent her. This drug should be taken off the market. ",1, , ,34,0.99959177,0.0007021249
66,65-74,Osteoporosis,2018-09-08,prolia syringe,154218,2,2,I suffered an atypical femur fracture from taking Prolia. Now I find out the drug co. has stated you may get vertebrae fractures if you go off it and don't start treatment again. Why is this drug on the market?The drug helped build bone but the possible side effects outweigh the advantages in my case.,1, , ,36,0.9997366,0.009890099
67,65-74,Osteoporosis,2018-09-07,prolia syringe,154218,5,1,"I reviewed this drug about 5 months after 1st injection - could not attribute what was happening to the Prolia, but was suspicious.  I felt as though I had aged several years, was badly fatigued, very weak and had episodes of perspiring at odd times for no apparent reason. At the time, I wouldn't have called them hot flashes; I'm 74. About 2 weeks before 2nd injection was due, I realized I was beginning to feel 'human' again.  This continued for about 2-3 weeks after injection #2, then the insidious downward spiral began again - weakness, fatigue.  This time, I realized the hot flashes had to be a result of the Prolia, complete with malodorous perspiration.  Dr. stated I would not get another test to determine benefit of this drug until I had been on it for TWO YEARS.  If I wanted to stop, she said I would need to take EVISTA, side effects = blood clots,danger of a stroke and.....hot flashes among other things.  Good grief.  If I stop the Prolia, I will be considered 'non-compliant'and there is absolutely no way I can endure hot flashes 5 months out of every 6.    One menopause experience was enough.  Feel coerced at this point.  The other side effect I am now SURE is due to this drug is chronic constipation, because function returned to my normal shortly before and after injection #2.  I am giving up my quality of life in order to spare myself another fracture.  It's a rock/hard place situation.  The cost to me is over $400/year. No matter WHAT I take, my quality of life suffers.  What a dilemma. Presently 3 months post second injection. Fatigue and weakness, not surprisingly, lead to mild depression.  It's like dominoes.",1, , ,31,0.99958163,0.994975
68,45-54,Osteoporosis,2018-08-22,prolia syringe,154218,1,1,I am glad to have read all reviews  I will not take this meds  I definitely agree it should be taken off the market. it's horrible what it does to people. shame on you. ,1,Female, ,24,0.9976035,0.0003920829
69,55-64,Osteoporosis,2018-08-12,prolia syringe,154218,5,5,I have recently had my 7th Prolia shot. Thank God I have not had ANY adverse effects and it is helping to re-build my bones. My last bone density scan said I went back 10 years due to the success of this drug.,5,Female, ,18,0.99900323,0.99968255
70,45-54,Osteoporosis,2018-08-07,prolia syringe,154218,1,1,"Surgeon required me to have injection before he'd perform surgery. Expected to have 1 more. Flu like symptoms then severe pain in jaw, shoulder, wrist, fingers, hip ",1, , ,18,0.99947506,0.0005287986
71,45-54,Osteoporosis,2018-07-31,prolia syringe,154218,1,1,WARNING-WARNING- I WAS HEALTHY AND HAPPY...THEN  SHOT # 1 NOT TOO HORRIBLE ...THEN #2 SHOULD HAVE WARNED ME  DUMMY ME ...............GOT SHOT#3 .AND NOW I LAY ON THE OUCH WITH A HEATING PAD ALL OVER MY BODY BUT MAINLY ON MY GUT IT CAUSED ME COLITIS!! I HAVE  NO LIFE.. CANT BREATHE RASHES PIN IN JAW ARMS LEGS WAS IN THE ER SEVERAL TIMES!!! THIS RX IS DANGEROUS!!!!!!!!,1,Female, ,32,0.9989367,0.0007071977
72,55-64,Osteoporosis,2018-07-09,prolia syringe,154218,1,1,"I have read and experienced almost all of the symptoms that other people have reported. Sciatica, pain in back of thighs, tired, muscle pain, flu like symptoms, many more. Had chronic pain before. Never occurred to me to reseabefore getting this shot. Had Reclast before. No side effects. If only Iâ??d known! DO not get this shot! Quality of life severely affected",1, , ,28,0.99955314,0.0006811818
73,75 or over,Osteoporosis,2018-06-18,prolia syringe,154218,3,1,"Prolia shot3/5/18 Dr. Shah Anderson and Patel

Side effects began sometime in April-May and continues today.  Arthritis pain had been managed with aspirin but increased in my hand joints to being more constant.  Using pressure on my thumbs became more painful.  The pain went into my wrist joint and right hip joint.  I started having random shooting pains in my thumbs.  I was increasingly tired even after a good night’s sleep. Depression and headaches followed.
",1, , ,20,0.99939704,0.00094946177
74,65-74,Osteoporosis,2018-06-11,prolia syringe,154218,5,5,Be using Prolia for 3 years.  Last bone density scan showed improvement. I have not experience any side effects.,5,Female, ,23,0.99940395,0.99933285
75,45-54,Osteoporosis,2018-05-27,prolia syringe,154218,1,1,"3RD SHOT AND THAT WILL BE MY LAST-I THOUGHT I AHD IBS NO MY RA GOT MUCH WORSE AND I HAVE ABDOMEN PAIN AND CONSTIPATION AND SEVRE LEG AND ARM PAIN AND WEAKNESS AND  I JUST WANT MY OLD LIFE BACK! THIS DRUG ""PROLIA"" MADE ME WORSE!!!",1,Female, ,28,0.9995604,0.0020393324
76,55-64,Osteoporosis,2018-05-22,prolia syringe,154218,1,1,"Rating given only to access the chance to comment here on this site. This drug has been recommended for me, or Reclast. I'm so disturbed by the reviews and the repetition sited of physical reactions, I cannot imagine taking the risk. So sorry for all those who are suffering in these ways. My gratitude for your posts which have probably helped many others.",1, , ,37,0.9889655,0.026001984
77,55-64,Osteoporosis,2018-05-17,prolia syringe,154218,5,5,"Today was my 9th prolia shot, I'm doing great,Ireversed osteoporosis  by going to the gym 4 days a week, having a personal trainer doing TRX I eat very healthy organic protein foods, and taking excellent organic vitamins with stronium, I'm 55,feel like I'm 40,  I feel awesome, today was my last shot. My spine is normal,  right hip normal, left hip low end osteopenia. Stay positive and active, it's all in the mindset. Prolia is an excellent drug I'm so pleased with the results... ",5, , ,17,0.9992617,0.9993807
78,65-74,Osteoporosis,2018-05-07,prolia syringe,154218,1,1,"I gave all one stars because of the side effects. I've only had one injection, Apr 4, 2018, and on Apr 25, 2018, all of a sudden I began to have difficulty breathing. Anytime I'm up and moving around, I pant and my oxygen levels are on 80-85. I've been to my reg doctor and she gave me a breathing treatment which did not help at all, a shot of steroids, and a Z pack, none of which seemed to help. I've learned to get up slowly and to walk slowly and to take deep breaths as I do so.  I do not plan to get another injection of this stuff.  From the reviews I've read, it doesn't seem to help that much to put up with the side effects which also seems to include general weakness.  I'm the sole caregiver for my 95 yr old bedridden mother, so this has practically stopped me in my tracks!",1, , ,20,0.99982375,0.00332597
79,65-74,Osteoporosis,2018-03-27,prolia syringe,154218,3,3,"No obvious side effects immediately following 11-01-18 first injection.  Didn't notice anything at all.  Approximately 3 weeks after the injection, I noted some overall weakness and slight difficulty with my gait.  General malaise progressed over the winter and my strength and stamina have decreased markedly.  I do NOT know whether this was due to the Prolia or is simply a decline in my health due to aging and a really cold winter. I feel as though I've aged several years in one season! I am suspicious enough to have reported this to both the FDA and to AMGEN.  Saw PCP today for check up and she noted marked changes and suggested home physical therapy. Kind of shocking to my very independent self...not to mention scary. I have had no obvious side effects as others report. Dental check up was fine, no jaw pain, nothing obvious....just this insidious decline in overall ability to perform activities of daily living over past 5 months. I am somewhat hesitant to get a second injection. You have to take a leap of faith, I think, as positive results don't become apparent early on.  My gut is telling me to err on the side of caution....but am truly ""on the fence"" over this one.",3, , ,33,0.9997857,0.40138277
